Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/important_dates,47254,29892,9800.0,11646.215700910368,3.3867801539599895,72223.28338189982,0.7348372624539722,66.58932546419207,42.12316664781033,9800,11000,13000,14000,28000,40000,49000,50000,58000,69000,72000
GET,/items,46356,29478,9800.0,11601.857726883396,3.7323569413274527,69120.45042100362,9.830572094227284,65.3238830832964,41.53976670828827,9800,11000,13000,14000,28000,40000,49000,50000,58000,60000,69000
GET,/rules,46908,30040,9800.0,11671.273559025063,2.4706239346414804,69161.00625414401,0.7191950200392258,66.1017496693258,42.33172508029648,9800,11000,13000,14000,28000,40000,48000,49000,58000,61000,69000
,Aggregated,140518,89410,9800.0,11639.947150008926,2.4706239346414804,72223.28338189982,3.730240965570247,198.01495821681425,125.99465843639507,9800,11000,13000,14000,28000,40000,49000,50000,58000,62000,72000
